Date,Strategy,Strategy Equity,month
2000-01-31,0.0,1.0,1
2000-02-29,0.0,1.0,2
2000-03-31,0.0,1.0,3
2000-04-30,0.0,1.0,4
2000-05-31,0.0,1.0,5
2000-06-30,0.0,1.0,6
2000-07-31,0.0,1.0,7
2000-08-31,0.0,1.0,8
2000-09-30,0.0,1.0,9
2000-10-31,0.0,1.0,10
2000-11-30,0.0,1.0,11
2000-12-31,0.0,1.0,12
2001-01-31,-0.0340502314092611,0.9659497685907389,1
2001-02-28,0.09683114482086716,1.062780913411606,2
2001-03-31,0.06635853454793565,1.1291394479595418,3
2001-04-30,-0.07400701716559098,1.0551324307939507,4
2001-05-31,-0.005077276192499184,1.0500551546014516,5
2001-06-30,0.02535410549182068,1.0754092600932723,6
2001-07-31,0.010798241319024869,1.0862075014122972,7
2001-08-31,0.06625562852916864,1.1524631299414658,8
2001-09-30,0.0852566327694199,1.2377197627108856,9
2001-10-31,-0.017937272262682925,1.2197824904482026,10
2001-11-30,-0.07248427993671062,1.147298210511492,11
2001-12-31,-0.007545296609037728,1.1397529139024543,12
2002-01-31,0.015696378592795816,1.1554492924952502,1
2002-02-28,0.02098486111979301,1.176434153615043,2
2002-03-31,-0.036080106667215006,1.1403540469478282,3
2002-04-30,0.06338465474468241,1.2037387016925105,4
2002-05-31,0.009122969376785079,1.2128616710692957,5
2002-06-30,0.07521434960317874,1.2880760206724744,6
2002-07-31,0.0822998845936383,1.3703759052661126,7
2002-08-31,-0.004869557741769398,1.3655063475243434,8
2002-09-30,0.11656114050838791,1.4820674880327311,9
2002-10-31,-0.08291439611915413,1.399153091913577,10
2002-11-30,-0.05550057104349956,1.3436525208700776,11
2002-12-31,0.06222926619772035,1.405881787067798,12
2003-01-31,0.027797487730551747,1.4336792747983496,1
2003-02-28,0.017149829499765647,1.4508291042981152,2
2003-03-31,-0.008322836592988533,1.4425062677051268,3
2003-04-30,-0.07792734002637897,1.3645789276787477,4
2003-05-31,-0.049645711997825755,1.314933215680922,5
2003-06-30,-0.08299904297227108,1.2319341727086508,6
2003-07-31,0.016093504013478796,1.2480276767221297,7
2003-08-31,0.017715355943955267,1.265743032666085,8
2003-09-30,-0.012016271671429069,1.253726760994656,9
2003-10-31,0.05350426070312376,1.3072310216977798,10
2003-11-30,0.007103216390662736,1.3143342380884424,11
2003-12-31,0.04951898497110535,1.363853223059548,12
2004-01-31,0.01712884705771484,1.3809820701172626,1
2004-02-29,0.012135045336106163,1.3931171154533688,2
2004-03-31,-0.01649420417864255,1.3766229112747261,3
2004-04-30,-0.016933314713063967,1.3596895965616622,4
2004-05-31,0.01201102803609549,1.3717006245977577,5
2004-06-30,-0.014583813802735145,1.3571168107950227,6
2004-07-31,0.03489223484716719,1.3920090456421899,7
2004-08-31,-0.0022847383199047075,1.3897243073222851,8
2004-09-30,-0.009320306218269937,1.380404001104015,9
2004-10-31,-0.01391695210281774,1.3664870490011973,10
2004-11-30,-0.03786877690682804,1.3286182720943693,11
2004-12-31,-0.03461422362442331,1.294004048469946,12
2005-01-31,-0.025615767695306164,1.2683882807746398,1
2005-02-28,0.018726898056026578,1.2871151788306665,2
2005-03-31,-0.01930276092169015,1.2678124179089763,3
2005-04-30,0.03810663044748324,1.3059190483564596,4
2005-05-31,-0.02951224448901949,1.27640680386744,5
2005-06-30,0.0001427243645059674,1.276549528231946,6
2005-07-31,-0.035336532271868934,1.241212995960077,7
2005-08-31,0.01128554750289936,1.2524985434629765,8
2005-09-30,-0.006924991121193518,1.2455735523417828,9
2005-10-31,0.017900033906343316,1.2634735862481263,10
2005-11-30,-0.03458121395472849,1.2288923722933978,11
2005-12-31,0.0009528030899301357,1.229845175383328,12
2006-01-31,-0.0470574752338377,1.1827877001494902,1
2006-02-28,0.0004530550834009432,1.1832407552328912,2
2006-03-31,0.011034703509450202,1.1942754587423414,3
2006-04-30,0.012082366269225497,1.2063578250115667,4
2006-05-31,-0.049628177416165487,1.1567296475954014,5
2006-06-30,-8.659275533523005e-05,1.1566430548400661,6
2006-07-31,-0.0050729894059884685,1.1515700654340777,7
